"annotation_id","annotator","created_at","date","flag","id","ids","lead_time","sentiment","target","text","updated_at","user"
1,"1","2024-10-25T19:49:36.997939Z","Tue Jun 02 11:17:55 PDT 2009","NO_QUERY",798,2006527422,7.096,"Neutral",0,"feeling tired already (actually woke up tired). damnit! not good! very disapointed in the cpap machine. ","2024-10-25T19:49:36.997939Z","sognix"
5,"1","2024-10-27T16:24:35.897588Z","Sun May 17 02:40:50 PDT 2009","NO_QUERY",799,1824731463,13.592,"Neutral",4,"@frombecca yes u should,but add little nuggets of chocolate through it and it just melts through it ","2024-10-27T16:24:35.897588Z","LukeWMangan"
4,"1","2024-10-27T16:23:40.303248Z","Mon Jun 01 13:40:15 PDT 2009","NO_QUERY",800,1995550626,12.036999999999999,"Neutral",4,"@BlatzLiquor2 oh man...i guess i've been away for too long then ","2024-10-27T16:23:40.303248Z","majastevanovich"
7,"1","2024-10-27T16:25:51.600549Z","Sat Jun 20 18:33:45 PDT 2009","NO_QUERY",801,2260033803,22.742,"Neutral",0,"up to early yet again..... ","2024-10-27T16:25:51.600549Z","bleezyblaze"
6,"1","2024-10-27T16:24:51.560783Z","Sat Jun 20 20:04:53 PDT 2009","NO_QUERY",802,2260984116,10.158000000000001,"Neutral",0,"I would be in the New Dallas Texas Stadium ","2024-10-27T16:24:51.561783Z","_AndreaJonas_"
8,"1","2024-10-27T16:26:06.383910Z","Sat Jun 20 17:18:45 PDT 2009","NO_QUERY",803,2259279199,11.754,"Neutral",0,"think i'm getting 'jess flu' fo' real. ","2024-10-27T16:26:06.383910Z","jesssicax"
9,"1","2024-10-27T16:26:23.525750Z","Fri Jun 19 15:32:20 PDT 2009","NO_QUERY",804,2245017449,22.797,"Negative",0,"It's like I wandered into a damn daycare by mistake. I want this shift to end NOW. Hongry too ","2024-10-27T16:26:23.525750Z","kuhniel"
10,"1","2024-10-27T16:26:30.573468Z","Mon Jun 15 02:03:32 PDT 2009","NO_QUERY",805,2175808353,32.251,"Positive",4,"Monday morning brings the joys of work ","2024-10-27T16:26:30.574469Z","GemmaLJohnson"
11,"1","2024-10-27T16:26:44.992389Z","Mon Apr 20 04:24:19 PDT 2009","NO_QUERY",806,1564647743,12.896,"Positive",4,"Day 1 of life without a phone. Facebook &amp; Twitter will be my main means of communication.  this should be interesting.","2024-10-27T16:26:44.992389Z","avallen"
12,"1","2024-10-27T16:27:14.410833Z","Mon May 04 00:37:29 PDT 2009","NO_QUERY",807,1693996936,18.06,"Positive",4,"im still waitin for my girl to come home...i wanna go shopping ","2024-10-27T16:27:14.411833Z","Bigga_L"
13,"1","2024-10-27T16:29:54.482459Z","Sun May 03 02:09:58 PDT 2009","NO_QUERY",808,1685803919,18.736,"Neutral",0,"Sleeping early on sleepovers again? ","2024-10-27T16:29:54.482459Z","rubycuriosity"
